2017/geocod;2017/geodsg;2017/dim_3;2017/dim_3_t;2017/dim_4;2017/dim_4_t;2017/valor;2017/sinal_conv;2017/sinal_conv_desc
PT17;Área Metropolitana de Lisboa;T;HM;T;Total;1410.52;;
PT1;Continente;T;HM;T;Total;1133.34;;
PT20;Região Autónoma dos Açores;T;HM;T;Total;;x;Dado não disponível
PT2;Região Autónoma dos Açores;T;HM;T;Total;;x;Dado não disponível
PT30;Região Autónoma da Madeira;T;HM;T;Total;;x;Dado não disponível
PT3;Região Autónoma da Madeira;T;HM;T;Total;;x;Dado não disponível
PT;Portugal;T;HM;T;Total;1133.34;;
PT11;Norte;T;HM;T;Total;1015.58;;
PT16;Centro;T;HM;T;Total;995.19;;
PT18;Alentejo;T;HM;T;Total;1016.4;;
PT15;Algarve;T;HM;T;Total;968.19;;
PT17;Área Metropolitana de Lisboa;1;H;T;Total;1549.97;;
PT1;Continente;1;H;T;Total;1236.85;;
PT20;Região Autónoma dos Açores;1;H;T;Total;;x;Dado não disponível
PT2;Região Autónoma dos Açores;1;H;T;Total;;x;Dado não disponível
PT30;Região Autónoma da Madeira;1;H;T;Total;;x;Dado não disponível
PT3;Região Autónoma da Madeira;1;H;T;Total;;x;Dado não disponível
PT;Portugal;1;H;T;Total;1236.85;;
PT11;Norte;1;H;T;Total;1101.21;;
PT16;Centro;1;H;T;Total;1095.99;;
PT18;Alentejo;1;H;T;Total;1113.93;;
PT15;Algarve;1;H;T;Total;1029.83;;
PT17;Área Metropolitana de Lisboa;2;M;T;Total;1250.58;;
PT1;Continente;2;M;T;Total;1011.02;;
PT20;Região Autónoma dos Açores;2;M;T;Total;;x;Dado não disponível
PT2;Região Autónoma dos Açores;2;M;T;Total;;x;Dado não disponível
PT30;Região Autónoma da Madeira;2;M;T;Total;;x;Dado não disponível
PT3;Região Autónoma da Madeira;2;M;T;Total;;x;Dado não disponível
PT;Portugal;2;M;T;Total;1011.02;;
PT11;Norte;2;M;T;Total;911.94;;
PT16;Centro;2;M;T;Total;873.46;;
PT18;Alentejo;2;M;T;Total;897.11;;
PT15;Algarve;2;M;T;Total;903.42;;
PT17;Área Metropolitana de Lisboa;T;HM;7;65 e mais anos;1625.86;;
PT1;Continente;T;HM;7;65 e mais anos;1346.83;;
PT20;Região Autónoma dos Açores;T;HM;7;65 e mais anos;;x;Dado não disponível
PT2;Região Autónoma dos Açores;T;HM;7;65 e mais anos;;x;Dado não disponível
PT30;Região Autónoma da Madeira;T;HM;7;65 e mais anos;;x;Dado não disponível
PT3;Região Autónoma da Madeira;T;HM;7;65 e mais anos;;x;Dado não disponível
PT;Portugal;T;HM;7;65 e mais anos;1346.83;;
PT11;Norte;T;HM;7;65 e mais anos;1342.9;;
PT16;Centro;T;HM;7;65 e mais anos;1103.31;;
PT18;Alentejo;T;HM;7;65 e mais anos;1098.04;;
PT15;Algarve;T;HM;7;65 e mais anos;955.79;;
PT17;Área Metropolitana de Lisboa;1;H;7;65 e mais anos;1915.21;;
PT1;Continente;1;H;7;65 e mais anos;1547.82;;
PT20;Região Autónoma dos Açores;1;H;7;65 e mais anos;;x;Dado não disponível
PT2;Região Autónoma dos Açores;1;H;7;65 e mais anos;;x;Dado não disponível
PT30;Região Autónoma da Madeira;1;H;7;65 e mais anos;;x;Dado não disponível
PT3;Região Autónoma da Madeira;1;H;7;65 e mais anos;;x;Dado não disponível
PT;Portugal;1;H;7;65 e mais anos;1547.82;;
PT11;Norte;1;H;7;65 e mais anos;1488.79;;
PT16;Centro;1;H;7;65 e mais anos;1258.51;;
PT18;Alentejo;1;H;7;65 e mais anos;1235.34;;
PT15;Algarve;1;H;7;65 e mais anos;1057.34;;
PT17;Área Metropolitana de Lisboa;2;M;7;65 e mais anos;1158.44;;
PT1;Continente;2;M;7;65 e mais anos;1018.23;;
PT20;Região Autónoma dos Açores;2;M;7;65 e mais anos;;x;Dado não disponível
PT2;Região Autónoma dos Açores;2;M;7;65 e mais anos;;x;Dado não disponível
PT30;Região Autónoma da Madeira;2;M;7;65 e mais anos;;x;Dado não disponível
PT3;Região Autónoma da Madeira;2;M;7;65 e mais anos;;x;Dado não disponível
PT;Portugal;2;M;7;65 e mais anos;1018.23;;
PT11;Norte;2;M;7;65 e mais anos;1054.48;;
PT16;Centro;2;M;7;65 e mais anos;876.27;;
PT18;Alentejo;2;M;7;65 e mais anos;870.43;;
PT15;Algarve;2;M;7;65 e mais anos;836.24;;
PT17;Área Metropolitana de Lisboa;T;HM;3;25 - 34 anos;1138.05;;
PT1;Continente;T;HM;3;25 - 34 anos;989.16;;
PT20;Região Autónoma dos Açores;T;HM;3;25 - 34 anos;;x;Dado não disponível
PT2;Região Autónoma dos Açores;T;HM;3;25 - 34 anos;;x;Dado não disponível
PT30;Região Autónoma da Madeira;T;HM;3;25 - 34 anos;;x;Dado não disponível
