unit;isco08;geo\time;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993
HAB_P;OC221;AL;: ;: ;: ;: ;: ;780.56 ;784.74 ;811.96 ;800.28 ;800.74 ;: ;819.09 ;825.30 ;: ;818.31 ;821.74 ;834.52 ;: ;: ;: ;: ;: ;: ;: ;: ;: 
HAB_P;OC221;AL0;: ;: ;: ;: ;: ;780.56 ;784.74 ;811.96 ;800.28 ;800.74 ;: ;819.09 ;825.30 ;: ;818.31 ;821.74 ;834.52 ;: ;: ;: ;: ;: ;: ;: ;: ;: 
HAB_P;OC221;AT;: ;192.95 ;194.95 ;196.42 ;198.17 ;200.46 ;204.27 ;206.52 ;208.54 ;213.26 ;217.20 ;220.37 ;224.74 ;231.65 ;238.01 ;243.08 ;248.10 ;252.43 ;259.52 ;265.39 ;264.92 ;273.54 ;279.37 ;284.65 ;293.51 ;303.47 
HAB_P;OC221;AT11;: ;245.64 ;251.27 ;258.18 ;264.84 ;264.57 ;267.01 ;274.48 ;283.86 ;294.43 ;304.40 ;311.34 ;321.00 ;326.97 ;343.33 ;344.97 ;355.99 ;367.93 ;371.09 ;375.14 ;390.65 ;404.36 ;415.10 ;414.46 ;429.32 ;449.46 
HAB_P;OC221;AT12;: ;217.78 ;217.70 ;219.16 ;218.21 ;222.17 ;224.89 ;228.36 ;232.86 ;238.47 ;242.97 ;252.58 ;257.31 ;263.77 ;271.19 ;282.36 ;290.84 ;303.07 ;316.37 ;328.32 ;336.44 ;353.38 ;367.03 ;380.26 ;390.38 ;407.41 
HAB_P;OC221;AT13;: ;145.99 ;146.81 ;146.20 ;145.24 ;145.92 ;150.56 ;150.68 ;150.37 ;153.44 ;154.78 ;155.11 ;156.03 ;159.93 ;162.69 ;162.42 ;163.11 ;162.51 ;165.17 ;166.15 ;155.49 ;160.61 ;161.88 ;164.15 ;169.10 ;175.46 
HAB_P;OC221;AT21;: ;215.10 ;218.12 ;219.93 ;223.24 ;226.99 ;233.90 ;237.56 ;240.97 ;246.35 ;249.48 ;249.13 ;254.71 ;275.42 ;277.57 ;286.32 ;291.75 ;294.14 ;300.82 ;312.43 ;314.10 ;325.38 ;329.83 ;336.90 ;342.85 ;346.08 
HAB_P;OC221;AT22;: ;195.60 ;199.56 ;200.26 ;206.06 ;209.16 ;211.69 ;214.12 ;215.52 ;221.09 ;225.64 ;230.26 ;237.58 ;242.33 ;250.36 ;256.51 ;260.97 ;266.53 ;272.95 ;277.87 ;287.45 ;293.73 ;300.09 ;305.63 ;313.62 ;323.28 
HAB_P;OC221;AT31;: ;239.46 ;241.12 ;241.58 ;245.68 ;247.60 ;246.94 ;248.29 ;251.56 ;257.72 ;265.51 ;271.34 ;278.56 ;288.98 ;300.00 ;307.44 ;316.41 ;325.09 ;338.08 ;348.44 ;361.42 ;373.45 ;387.44 ;394.60 ;410.58 ;419.50 
HAB_P;OC221;AT32;: ;178.52 ;181.18 ;183.55 ;185.94 ;188.04 ;191.76 ;197.39 ;202.97 ;207.78 ;213.34 ;218.26 ;228.07 ;234.71 ;243.59 ;247.09 ;255.59 ;260.71 ;269.74 ;276.63 ;283.63 ;290.88 ;299.67 ;304.77 ;316.56 ;324.42 
