ANO;GEO_COD;GEO_COD_DSG;NIVEL;NIVEL_DSG;N_ALOJAMENTOS;N_ALOJAMENTOS_FAMILIARES;N_ALOJAMENTOS_FAM_CLASSICOS;N_ALOJAMENTOS_FAM_N_CLASSICOS;N_ALOJAMENTOS_COLECTIVOS;N_CLASSICOS_RES_HABITUAL;N_ALOJAMENTOS_RES_HABITUAL;N_ALOJAMENTOS_VAGOS
2011;'PT;PT;1;Total Nacional;5878756;5866152;5859540;6612;12604;3991112;3997724;735128
2011;'1;Continente;2;NUT1;5639257;5627555;5621098;6457;11702;3818574;3825031;704054
2011;'17;Lisboa;3;NUT2;1487858;1485795;1483717;2078;2063;1127711;1129789;184909
2011;'171;Grande Lisboa;4;NUT3;1066868;1065235;1064036;1199;1633;821036;822235;135887
2011;'1106;Lisboa;5;Municipio;323981;323076;322865;211;905;237247;237458;50209
2011;'110601;Ajuda;6;Freguesia;8879;8872;8866;6;7;6898;6904;875
2011;'110602;Alcântara;6;Freguesia;8920;8900;8886;14;20;6512;6526;1430
2011;'110603;Alto do Pina;6;Freguesia;6117;6106;6104;2;11;4481;4483;844
2011;'110604;Alvalade;6;Freguesia;5395;5381;5381;0;14;4116;4116;708
2011;'110605;Ameixoeira;6;Freguesia;6240;6235;6227;8;5;4713;4721;976
2011;'110606;Anjos;6;Freguesia;6066;6032;6027;5;34;4164;4169;1251
2011;'110607;Beato;6;Freguesia;7640;7636;7631;5;4;5541;5546;1301
2011;'110608;Benfica;6;Freguesia;21221;21204;21197;7;17;16508;16515;2486
2011;'110609;Campo Grande;6;Freguesia;6220;6199;6199;0;21;4570;4570;744
2011;'110610;Campolide;6;Freguesia;9255;9235;9224;11;20;6581;6592;1636
2011;'110611;Carnide;6;Freguesia;11166;11148;11145;3;18;8973;8976;1125
2011;'110612;Castelo;6;Freguesia;349;348;347;1;1;189;190;136
2011;'110613;Charneca;6;Freguesia;4448;4446;4430;16;2;3634;3650;594
2011;'110614;Coração de Jesus;6;Freguesia;2891;2849;2848;1;42;1782;1783;657
2011;'110615;Encarnação;6;Freguesia;2283;2261;2258;3;22;1111;1114;795
2011;'110616;Graça;6;Freguesia;4125;4118;4117;1;7;2699;2700;971
2011;'110617;Lapa;6;Freguesia;5297;5284;5281;3;13;3561;3564;1290
2011;'110618;Lumiar;6;Freguesia;21472;21451;21446;5;21;16945;16950;1980
2011;'110619;Madalena;6;Freguesia;375;370;370;0;5;170;170;176
2011;'110620;Mártires;6;Freguesia;326;321;321;0;5;160;160;70
2011;'110621;Marvila;6;Freguesia;16681;16669;16649;20;12;14009;14029;1451
2011;'110622;Mercês;6;Freguesia;3252;3248;3241;7;4;2065;2072;840
2011;'110623;Nossa Senhora de Fátima;6;Freguesia;10442;10387;10386;1;55;6877;6878;2072
2011;'110624;Pena;6;Freguesia;3518;3505;3503;2;13;2110;2112;879
2011;'110625;Penha de França;6;Freguesia;8316;8308;8305;3;8;6008;6011;1324
2011;'110626;Prazeres;6;Freguesia;4949;4937;4924;13;12;3308;3321;1037
2011;'110627;Sacramento;6;Freguesia;686;676;674;2;10;357;359;160
2011;'110628;Santa Catarina;6;Freguesia;2966;2951;2949;2;15;1816;1818;749
2011;'110629;Santa Engrácia;6;Freguesia;3534;3530;3529;1;4;2590;2591;590
2011;'110630;Santa Isabel;6;Freguesia;4320;4305;4305;0;15;3103;3103;708
2011;'110631;Santa Justa;6;Freguesia;660;628;628;0;32;322;322;262
2011;'110632;Santa Maria de Belém;6;Freguesia;5273;5255;5253;2;18;3740;3742;956
2011;'110633;Santa Maria dos Olivais;6;Freguesia;26088;26059;26045;14;29;20869;20883;2404
2011;'110634;Santiago;6;Freguesia;559;556;556;0;3;319;319;164
2011;'110635;Santo Condestável;6;Freguesia;9495;9481;9476;5;14;7246;7251;1292
2011;'110636;Santo Estêvão;6;Freguesia;1571;1565;1564;1;6;835;836;607
2011;'110637;Santos-o-Velho;6;Freguesia;2898;2888;2888;0;10;1866;1866;753
2011;'110638;São Cristóvão e São Lourenço;6;Freguesia;1096;1092;1092;0;4;663;663;216
2011;'110639;São Domingos de Benfica;6;Freguesia;20260;20233;20229;4;27;15144;15148;2990
2011;'110640;São Francisco Xavier;6;Freguesia;4222;4216;4203;13;6;3271;3284;575
2011;'110641;São João;6;Freguesia;9504;9484;9480;4;20;7008;7012;1563
2011;'110642;São João de Brito;6;Freguesia;6825;6782;6780;2;43;5106;5108;706
2011;'110643;São João de Deus;6;Freguesia;6441;6427;6425;2;14;4510;4512;1141
2011;'110644;São Jorge de Arroios;6;Freguesia;11962;11887;11882;5;75;8326;8331;2058
2011;'110645;São José;6;Freguesia;2354;2327;2324;3;27;1347;1350;734
2011;'110646;São Mamede;6;Freguesia;3348;3321;3321;0;27;2365;2365;561
2011;'110647;São Miguel;6;Freguesia;1139;1138;1138;0;1;859;859;177
2011;'110648;São Nicolau;6;Freguesia;1188;1159;1159;0;29;383;383;574
2011;'110649;São Paulo;6;Freguesia;2047;2036;2034;2;11;1275;1277;427
2011;'110650;São Sebastião da Pedreira;6;Freguesia;4090;4043;4041;2;47;2730;2732;743
2011;'110651;São Vicente de Fora;6;Freguesia;2650;2644;2639;5;6;1776;1781;495
2011;'110652;Sé;6;Freguesia;871;862;862;0;9;410;410;366
2011;'110653;Socorro;6;Freguesia;2091;2081;2076;5;10;1326;1331;590
