landuse;unit;geo\time;2016 ;2013 
L0008;KM2;AT;82519 ;82515 
L0008;KM2;AT1;23083 ;23083 
L0008;KM2;AT11;3780 ;3780 
L0008;KM2;AT111;694 ;694 
L0008;KM2;AT112;1635 ;1635 
L0008;KM2;AT113;1451 ;1451 
L0008;KM2;AT12;18907 ;18908 
L0008;KM2;AT121;3301 ;3301 
L0008;KM2;AT122;3348 ;3348 
L0008;KM2;AT123;1214 ;1214 
L0008;KM2;AT124;4553 ;4553 
L0008;KM2;AT125;2390 ;2390 
L0008;KM2;AT126;2658 ;2658 
L0008;KM2;AT127;1443 ;1443 
L0008;KM2;AT13;396 ;396 
L0008;KM2;AT130;396 ;396 
L0008;KM2;AT2;25619 ;25618 
L0008;KM2;AT21;9367 ;9367 
L0008;KM2;AT211;1958 ;1958 
L0008;KM2;AT212;4067 ;4067 
L0008;KM2;AT213;3342 ;3342 
L0008;KM2;AT22;16252 ;16251 
L0008;KM2;AT221;1200 ;1200 
L0008;KM2;AT222;3287 ;3287 
L0008;KM2;AT223;3190 ;3190 
L0008;KM2;AT224;3296 ;3296 
L0008;KM2;AT225;2237 ;2237 
L0008;KM2;AT226;3042 ;3042 
L0008;KM2;AT3;33817 ;33814 
L0008;KM2;AT31;11717 ;11716 
L0008;KM2;AT311;2783 ;2783 
L0008;KM2;AT312;1700 ;1700 
L0008;KM2;AT313;2630 ;2630 
L0008;KM2;AT314;2214 ;2214 
L0008;KM2;AT315;2390 ;2390 
L0008;KM2;AT32;7057 ;7056 
L0008;KM2;AT321;1013 ;1013 
L0008;KM2;AT322;4357 ;4357 
L0008;KM2;AT323;1687 ;1687 
L0008;KM2;AT33;12511 ;12510 
L0008;KM2;AT331;1214 ;1214 
L0008;KM2;AT332;2079 ;2079 
L0008;KM2;AT333;2007 ;2007 
L0008;KM2;AT334;3287 ;3287 
L0008;KM2;AT335;3924 ;3924 
L0008;KM2;AT34;2532 ;2532 
L0008;KM2;AT341;1854 ;1854 
L0008;KM2;AT342;678 ;678 
L0008;KM2;BE;30451 ;30450 
L0008;KM2;BE1;162 ;162 
L0008;KM2;BE10;162 ;162 
L0008;KM2;BE100;162 ;162 
L0008;KM2;BE2;13428 ;13427 
L0008;KM2;BE21;2804 ;2804 
L0008;KM2;BE211;960 ;960 
L0008;KM2;BE212;499 ;499 
L0008;KM2;BE213;1345 ;1345 
L0008;KM2;BE22;2390 ;2391 
L0008;KM2;BE221;893 ;893 
L0008;KM2;BE222;869 ;869 
L0008;KM2;BE223;628 ;628 
L0008;KM2;BE23;2970 ;2970 
L0008;KM2;BE231;473 ;473 
L0008;KM2;BE232;339 ;339 
L0008;KM2;BE233;334 ;334 
L0008;KM2;BE234;940 ;940 
L0008;KM2;BE235;423 ;423 
L0008;KM2;BE236;461 ;461 
L0008;KM2;BE24;2114 ;2114 
L0008;KM2;BE241;947 ;947 
L0008;KM2;BE242;1167 ;1167 
L0008;KM2;BE25;3150 ;3149 
L0008;KM2;BE251;652 ;652 
L0008;KM2;BE252;364 ;364 
L0008;KM2;BE253;553 ;553 
L0008;KM2;BE254;406 ;406 
L0008;KM2;BE255;292 ;292 
L0008;KM2;BE256;274 ;274 
L0008;KM2;BE257;332 ;332 
L0008;KM2;BE258;277 ;277 
L0008;KM2;BE3;16861 ;16860 
L0008;KM2;BE31;1097 ;1097 
L0008;KM2;BE310;1097 ;1097 
L0008;KM2;BE32;3800 ;3801 
L0008;KM2;BE321;490 ;490 
L0008;KM2;BE322;559 ;559 
L0008;KM2;BE323;584 ;584 
L0008;KM2;BE324;102 ;102 
L0008;KM2;BE325;518 ;518 
L0008;KM2;BE326;935 ;935 
L0008;KM2;BE327;612 ;612 
L0008;KM2;BE33;3838 ;3838 
L0008;KM2;BE331;657 ;657 
L0008;KM2;BE332;786 ;786 
L0008;KM2;BE334;390 ;390 
L0008;KM2;BE335;1161 ;1161 
L0008;KM2;BE336;844 ;844 
L0008;KM2;BE34;4461 ;4460 
L0008;KM2;BE341;319 ;319 
L0008;KM2;BE342;1047 ;1047 
L0008;KM2;BE343;958 ;958 
L0008;KM2;BE344;1359 ;1359 
L0008;KM2;BE345;778 ;778 
L0008;KM2;BE35;3665 ;3664 
L0008;KM2;BE351;1593 ;1593 
L0008;KM2;BE352;1163 ;1163 
L0008;KM2;BE353;909 ;909 
L0008;KM2;BG;110001 ;110001 
L0008;KM2;BG3;67657 ;67657 
L0008;KM2;BG31;18843 ;18843 
L0008;KM2;BG311;2988 ;2988 
L0008;KM2;BG312;3576 ;3576 
L0008;KM2;BG313;3581 ;3581 
L0008;KM2;BG314;4574 ;4574 
L0008;KM2;BG315;4124 ;4124 
L0008;KM2;BG32;14660 ;14661 
L0008;KM2;BG321;4623 ;4623 
L0008;KM2;BG322;2018 ;2018 
L0008;KM2;BG323;2810 ;2810 
L0008;KM2;BG324;2409 ;2409 
L0008;KM2;BG325;2800 ;2800 
L0008;KM2;BG33;14560 ;14560 
L0008;KM2;BG331;3778 ;3778 
L0008;KM2;BG332;4711 ;4711 
L0008;KM2;BG333;3374 ;3374 
L0008;KM2;BG334;2697 ;2697 
L0008;KM2;BG34;19594 ;19593 
L0008;KM2;BG341;7637 ;7637 
L0008;KM2;BG342;3521 ;3521 
L0008;KM2;BG343;3339 ;3339 
L0008;KM2;BG344;5097 ;5097 
L0008;KM2;BG4;42344 ;42344 
L0008;KM2;BG41;20228 ;20229 
L0008;KM2;BG411;1306 ;1306 
L0008;KM2;BG412;7052 ;7052 
L0008;KM2;BG413;6441 ;6441 
L0008;KM2;BG414;2380 ;2380 
L0008;KM2;BG415;3049 ;3049 
L0008;KM2;BG42;22116 ;22115 
L0008;KM2;BG421;5904 ;5904 
L0008;KM2;BG422;5466 ;5466 
L0008;KM2;BG423;4390 ;4390 
L0008;KM2;BG424;3190 ;3190 
L0008;KM2;BG425;3166 ;3166 
L0008;KM2;CH;39860 ;39860 
L0008;KM2;CH0;39860 ;39860 
L0008;KM2;CH01;8256 ;8257 
L0008;KM2;CH011;2819 ;2819 
L0008;KM2;CH012;5194 ;5194 
L0008;KM2;CH013;243 ;243 
L0008;KM2;CH02;9752 ;9752 
L0008;KM2;CH021;5823 ;5823 
L0008;KM2;CH022;1589 ;1589 
L0008;KM2;CH023;786 ;786 
L0008;KM2;CH024;715 ;715 
L0008;KM2;CH025;839 ;839 
L0008;KM2;CH03;1934 ;1934 
L0008;KM2;CH031;36 ;36 
L0008;KM2;CH032;516 ;516 
L0008;KM2;CH033;1382 ;1382 
L0008;KM2;CH04;1654 ;1654 
L0008;KM2;CH040;1654 ;1654 
L0008;KM2;CH05;11278 ;11278 
L0008;KM2;CH051;676 ;676 
L0008;KM2;CH052;296 ;296 
L0008;KM2;CH053;243 ;243 
L0008;KM2;CH054;172 ;172 
L0008;KM2;CH055;1947 ;1947 
L0008;KM2;CH056;7084 ;7084 
L0008;KM2;CH057;860 ;860 
L0008;KM2;CH06;4253 ;4253 
L0008;KM2;CH061;1428 ;1428 
L0008;KM2;CH062;1055 ;1055 
L0008;KM2;CH063;843 ;843 
L0008;KM2;CH064;478 ;478 
L0008;KM2;CH065;241 ;241 
L0008;KM2;CH066;208 ;208 
L0008;KM2;CH07;2733 ;2733 
L0008;KM2;CH070;2733 ;2733 
L0008;KM2;CY;9213 ;9213 
L0008;KM2;CY0;9213 ;9213 
L0008;KM2;CY00;9213 ;9213 
L0008;KM2;CY000;9213 ;9213 
L0008;KM2;CZ;77212 ;77212 
L0008;KM2;CZ0;77212 ;77212 
L0008;KM2;CZ01;485 ;485 
L0008;KM2;CZ010;485 ;485 
L0008;KM2;CZ02;10719 ;10719 
L0008;KM2;CZ020;10719 ;10719 
L0008;KM2;CZ03;17141 ;17140 
L0008;KM2;CZ031;9614 ;9614 
L0008;KM2;CZ032;7527 ;7527 
L0008;KM2;CZ04;8474 ;8474 
L0008;KM2;CZ041;3240 ;3240 
